Age,Gender,Device_Type,Daily_Phone_Hours,Social_Media_Hours,Work_Productivity_Score,Sleep_Hours,Stress_Level,App_Usage_Count,Caffeine_Intake_Cups,Weekend_Screen_Time_Hours,Occupation_Business Owner,Occupation_Freelancer,Occupation_Professional,Occupation_Student
58,1,0,1.3,6.7,6,8.8,4,42,1,8.7,0,0,1,0
25,1,0,1.2,1.5,5,6.4,1,51,3,5.1,0,0,1,0
19,1,1,5.3,5.7,5,9.0,4,14,5,6.3,0,0,0,1
35,0,1,5.8,2.5,2,5.7,3,36,6,12.8,1,0,0,0
33,1,0,7.9,1.3,4,5.7,3,37,5,9.9,0,1,0,0
32,0,0,10.9,4.2,9,6.3,7,34,5,3.6,0,0,0,1
26,1,1,5.6,6.1,8,6.7,3,5,3,2.9,0,0,0,1
24,1,1,8.5,1.9,4,7.8,3,6,6,12.8,0,1,0,0
52,0,0,9.4,2.5,3,6.4,4,17,3,3.1,1,0,0,0
23,0,1,2.8,1.1,1,4.5,2,7,0,2.7,0,0,0,1
55,2,0,8.3,1.1,8,5.7,9,59,1,7.3,0,0,1,0
45,2,0,12.0,6.7,6,4.9,10,12,1,9.2,1,0,0,0
20,0,1,11.1,5.6,3,5.0,4,22,6,4.2,1,0,0,0
19,0,1,9.7,4.1,10,6.0,1,36,6,2.3,0,1,0,0
23,1,0,1.1,2.5,3,5.3,8,29,5,9.2,0,0,1,0
31,1,0,11.6,5.5,9,8.9,5,29,0,7.9,1,0,0,0
32,2,0,2.3,7.8,8,4.6,1,40,1,3.4,0,0,1,0
50,0,0,10.8,5.7,8,4.5,5,57,0,5.3,0,0,0,1
56,0,0,3.3,4.3,2,4.5,1,19,1,5.8,1,0,0,0
19,2,0,3.9,4.2,1,6.0,5,45,2,11.8,0,0,1,0
53,2,0,3.3,2.6,7,8.4,1,54,6,7.5,1,0,0,0
30,2,1,9.5,6.9,2,8.4,6,28,2,3.9,0,0,1,0
59,0,0,10.9,4.9,5,8.8,8,31,6,2.7,0,1,0,0
52,0,1,5.5,5.1,4,8.3,8,40,2,12.5,0,0,0,1
44,0,0,3.7,4.2,7,6.7,6,40,5,12.0,1,0,0,0
32,0,1,10.1,7.5,8,7.3,10,31,4,6.9,0,0,1,0
46,1,1,1.2,6.5,4,5.7,10,15,3,11.1,1,0,0,0
55,2,1,9.7,6.1,1,6.3,10,18,2,5.1,0,0,0,1
35,1,1,11.7,1.6,1,4.9,10,42,4,4.7,0,0,1,0
18,2,1,11.4,7.8,3,5.4,7,41,0,8.9,0,0,0,1
28,2,0,2.1,2.3,1,4.3,9,59,1,10.4,0,0,0,1
45,2,0,5.8,3.8,4,5.9,10,25,0,7.9,0,1,0,0
39,2,0,8.2,2.3,8,7.8,6,41,3,4.1,0,0,1,0
35,2,1,3.4,2.0,7,7.1,6,21,1,9.8,0,1,0,0
27,0,0,11.8,6.3,5,6.0,1,40,0,13.3,0,0,0,1
31,1,0,7.1,2.0,9,8.4,5,58,0,6.1,0,1,0,0
39,0,1,3.8,2.4,9,4.4,2,46,1,5.3,0,0,1,0
24,1,1,3.9,6.4,6,7.9,5,57,1,5.1,0,1,0,0
23,2,0,8.3,0.5,2,4.3,5,52,1,3.8,0,0,1,0
42,1,1,1.8,2.0,2,6.6,10,54,4,7.0,0,0,0,1
24,1,1,3.4,4.7,2,5.1,2,47,6,12.4,0,0,0,1
40,0,1,9.6,6.2,3,4.6,7,46,0,3.6,0,0,1,0
40,0,1,1.2,0.6,5,7.9,8,6,0,5.1,0,0,0,1
56,1,0,1.0,7.1,9,7.7,10,23,6,2.1,0,0,1,0
34,0,1,1.5,6.4,7,6.6,9,17,2,5.6,0,0,1,0
20,1,1,9.0,0.9,6,8.7,4,56,5,8.6,0,0,0,1
47,0,1,5.5,6.9,10,5.1,9,6,6,2.1,0,1,0,0
52,1,1,5.2,4.9,9,7.1,1,6,4,6.9,0,1,0,0
25,0,1,10.4,1.5,9,4.3,8,37,5,9.0,0,1,0,0
42,1,1,8.1,4.5,4,5.6,2,26,3,9.8,1,0,0,0
23,0,0,9.7,6.0,1,8.6,4,34,6,10.1,0,0,0,1
53,0,0,6.8,7.2,9,7.5,10,37,2,12.3,0,1,0,0
36,0,1,4.0,5.0,6,6.9,9,32,3,13.0,0,1,0,0
58,1,0,6.0,7.3,2,4.5,1,33,4,9.1,0,0,1,0
57,0,0,11.7,5.9,10,5.8,3,12,5,14.0,0,0,1,0
41,0,1,6.3,2.6,1,4.8,4,35,3,8.2,0,0,1,0
54,1,0,3.8,7.8,5,8.9,9,24,6,5.6,0,0,0,1
30,0,1,3.5,2.3,8,4.3,1,49,6,12.2,0,0,1,0
22,0,0,2.0,7.9,5,4.9,6,40,5,2.7,0,1,0,0
20,1,0,9.8,6.8,1,8.2,8,43,0,12.2,0,1,0,0
60,0,0,1.4,4.7,6,7.2,8,5,2,6.4,0,1,0,0
32,1,0,9.7,7.3,2,5.8,5,45,0,10.5,0,0,1,0
36,0,1,5.0,3.4,3,7.7,3,45,1,8.2,0,0,1,0
23,0,1,3.9,7.7,6,5.0,6,24,0,3.7,0,1,0,0
32,0,0,5.7,5.2,8,5.7,2,16,6,2.7,0,1,0,0
24,0,1,5.7,1.8,7,5.4,1,31,6,7.6,0,0,1,0
42,2,0,8.1,4.6,3,8.2,5,13,6,9.6,0,0,1,0
35,2,0,3.7,4.2,10,5.6,4,58,4,11.3,0,0,1,0
47,2,0,10.2,2.4,4,5.3,10,16,4,5.4,0,0,0,1
58,2,1,7.4,8.0,10,4.7,9,41,5,9.6,1,0,0,0
41,2,0,3.7,0.9,2,7.2,6,55,0,12.4,0,0,0,1
28,1,1,4.3,7.1,5,6.1,4,9,6,7.1,0,0,0,1
41,2,0,11.5,4.6,6,6.6,7,52,3,11.1,0,1,0,0
40,0,1,9.1,6.1,6,7.4,10,27,6,10.6,0,0,0,1
31,2,1,4.5,7.2,1,5.8,7,15,6,11.6,0,1,0,0
60,2,0,10.1,7.5,5,6.8,2,53,5,9.1,0,0,0,1
35,0,0,6.7,3.8,1,5.1,8,45,3,8.0,0,0,0,1
59,2,0,10.2,5.5,10,5.0,8,60,5,12.0,1,0,0,0
22,0,1,6.6,3.0,6,7.0,9,36,2,12.8,1,0,0,0
56,0,1,1.6,4.7,7,7.6,6,8,4,11.5,0,0,1,0
58,1,1,4.7,3.8,10,7.6,5,32,3,11.1,0,0,1,0
28,2,1,11.7,3.9,4,4.6,4,6,6,3.0,0,0,1,0
